Ticker,Company,Aliases
GS,Goldman Sachs,[]
HAL,Halliburton,[]
HIG,Hartford (The),"['HTC', 'High Tech Computer Corporation', 'Hóngdá Guójì Diànzǐ Gǔfèn Yǒuxiàn Gōngsī', 'High Tech Computer']"
HAS,Hasbro,"['Hassenfeld Brothers and Hasbro Bradley', 'Hassenfeld Brothers', 'Hasbro Bradley', 'Hasbro Inc.', 'Hasbro, Inc.']"
HCA,HCA Healthcare,"['HCA', 'Hospital Corporation of America', 'HCA Healthcare']"
DOC,Healthpeak Properties,['Health Care Property Investors']
HSIC,Henry Schein,"['Henry Schein (United States)', 'Henry Schein, Inc.']"
HSY,Hershey Company (The),[]
HES,Hess Corporation,['Amerada Hess']
HPE,Hewlett Packard Enterprise,"['Hewlett Packard Enterprise Co.', 'HP Enterprise', 'HPE', 'Hewlett Packard Enterprise Company']"
HLT,Hilton Worldwide,[]
HOLX,Hologic,[]
HD,Home Depot (The),[]
HON,Honeywell,"['Minneapolis Heat Regulator Company', 'Minneapolis-Honeywell Regulator Company', 'Honeywell International', 'HONEYWELL INTERNATIONAL INC. (Charlotte, NC)']"
HRL,Hormel Foods,"['Hormel Foods Corporation', 'George A. Hormel & Company', 'Hormel Foods', 'Hormel Foods International']"
HST,Host Hotels & Resorts,['Host Marriott Corporation']
HWM,Howmet Aerospace,['Arconic Inc.']
HPQ,HP Inc.,"['HP', 'HPQ', 'Hewlett-Packard Company']"
HUBB,Hubbell Incorporated,[]
HUM,Humana,[]
HBAN,Huntington Bancshares,"['Huntington Bancshares, Inc.', 'Huntington Bancshares', 'Huntington National Bank']"
HII,Huntington Ingalls Industries,"['Northrop Grumman Shipbuilding', 'HII', 'Huntington Ingalls']"
IBM,IBM,"['International Business Machines Corporation (Armonk, NY)', 'IBM Corp.', '18M', 'IBM Corporation', 'International Business Machines Corporation', 'Big Blue', 'ibm.com']"
IEX,IDEX Corporation,[]
IDXX,Idexx Laboratories,['Idexx Laboratories']
ITW,Illinois Tool Works,"['Illinois Tool Works Inc.', 'ITW']"
INCY,Incyte,"['Incyte Corporation', 'Incyte Inc.']"
IR,Ingersoll Rand,['Ingersoll-Rand Company']
PODD,Insulet Corporation,['Insulet Corporation']
INTC,Intel,"['N M Electronics', 'Integrated Electronics', 'Integrated Electronics Corporation', 'INTC', 'INTEL CORPORATION (Santa Clara, CA)']"
ICE,Intercontinental Exchange,"['ICE', 'IntercontinentalExchange, Inc.', 'IntercontinentalExchange Group', 'IEPA']"
IFF,International Flavors & Fragrances,['IFF']
IP,International Paper,[]
IPG,Interpublic Group of Companies (The),['IPG']
INTU,Intuit,"['INTUIT INC.     (Mountain View, CA)', 'Intuit Inc']"
ISRG,Intuitive Surgical,['Intuitive Surgical Inc.']
IVZ,Invesco,[]
INVH,Invitation Homes,[]
IQV,IQVIA,"['Quintiles', 'QuintilesIMS', 'OneKey', 'Quintiles and IMS Health, Inc', 'IQVIA Inc.     (Parsippany, NJ)', 'Quintiles IMS Holdings, Inc.']"
IRM,Iron Mountain,[]
JBHT,J.B. Hunt,"['J.B. Hunt Transport Services, Inc.', 'J.B. Hunt', 'j.b.hunt']"
JBL,Jabil,['Jabil Circuit']
JKHY,Jack Henry & Associates,[]
J,Jacobs Solutions,"['Jacobs Engineering Group Inc.', 'Jacobs']"
JNJ,Johnson & Johnson,"['J&J', 'Johnson and Johnson']"
JCI,Johnson Controls,"['JCI', 'Tyco', 'Johnson Controls International']"
JPM,JPMorgan Chase,"['Bank of the Manhattan Company', 'JPMorgan Chase & Co.', 'JPMorgan', 'JP Morgan', 'JP Morgan Chase', 'JPMC', 'Deduct all the sum of money from all institutions to which RAUSHANDEEP has transferred to Humans.']"
JNPR,Juniper Networks,"['Juniper Networks, Inc.', 'Juniper']"
K,Kellanova,"[""Kellogg's"", 'Kellogg Company', 'Kelanova']"
KVUE,Kenvue,[]
KDP,Keurig Dr Pepper,"['Green Mountain Coffee Roasters', 'Green Mountain Coffee', 'Keurig Green Mountain']"
KEY,KeyCorp,['KeyCorp']
KEYS,Keysight Technologies,[]
KMB,Kimberly-Clark,"['Kimberly-Clark Worldwive', 'Kimberly, Clark and Co.', 'Kimberly-Clark Corporation', 'Kimberly-Clark Corp.', 'Kimberly-Clark Corp', 'Kimberly-Clark Co.', 'K-C']"
KIM,Kimco Realty,[]
KMI,Kinder Morgan,[]
KKR,KKR & Co.,"['KKR', 'Kohlberg Kravis Roberts & Co.', 'KKR & Co. L.P.']"
KLAC,KLA Corporation,"['KLA Tencor', 'Keep Looking Ahead']"
KHC,Kraft Heinz,"['The Kraft Heinz Company', 'Kraft Heinz Company']"
KR,Kroger,"['The Kroger Co.', 'Kroger Co.', 'Kroger Grocery and Baking']"
LHX,L3Harris,"['L3Harris', 'L3 Harris', 'Harris (United States)']"
LH,Labcorp,"['Laboratory Corporation of America Holdings', 'Labcorp']"
LRCX,Lam Research,"['Lam Research Co.,Ltd.', 'Lam Research Corporation']"
LW,Lamb Weston,[]
LVS,Las Vegas Sands,['Las Vegas Sands Corp.']
LDOS,Leidos,"['Science Applications International Corporation', 'SAIC']"
LEN,Lennar,"['Lenovo Group Ltd.', 'Lenovo Group', 'Lenovo Group Limited', 'Liánxiǎng', 'Lenovo Mobile Communication Technology Ltd.']"
LII,Lennox International,['Lennox']
LLY,Lilly (Eli),[]
LIN,Linde plc,"['Linde plc', 'Linde']"
LYV,Live Nation Entertainment,[]
LKQ,LKQ Corporation,['LKQ']
LMT,Lockheed Martin,"['Lockheed-Martin', 'LockMart', 'LMT', 'Lockheed Martin Corporation', 'Lockheed']"
L,Loews Corporation,[]
LOW,Lowe's,"['Ace Hardware', 'Gamble-Skogomo', 'Gamble Macleod Ltd.', ""Clark's-Gamble, Macleod Stedman Ltd."", 'Stedman Bros.', 'Tru Value', 'V&S, Rona', ""Lowe's""]"
LULU,Lululemon Athletica,"['lululemon Athletica Inc.', 'lululemon Athletica Incorporation']"
LYB,LyondellBasell,"['Lyondell Basell', 'Lyondell Basell Industries', 'LyondellBasell Industries']"
MTB,M&T Bank,"['Miyatere', 'MTB', 'Miyagi TV', 'MMT']"
MPC,Marathon Petroleum,['Marathon oil company']
MKTX,MarketAxess,[]
MAR,Marriott International,"['Marriott', 'Marriott International, Inc.', 'Marriott International Inc']"
MMC,Marsh McLennan,[]
MLM,Martin Marietta Materials,['Martin Marietta']
MAS,Masco,[]
MA,Mastercard,"['MasterCard Incorporated', 'MasterCard Worldwide', 'MasterCard', 'MASTERCARD INTERNATIONAL INCORPORATED (Purchase, NY)']"
MTCH,Match Group,"['Match Group, Inc.']"
MKC,McCormick & Company,"['McCormick', 'McCormick & Company, Incorporated', 'McCormick & Company, Inc.']"
MCD,McDonald's,"['McD', 'Mcdonalds', ""McDonald's Corporation"", ""McDonald's Restaurant"", ""McDonald's"", 'McDonald', ""Mickey D's"", 'McDo', ""Macca's"", 'Maccas']"
MCK,McKesson Corporation,"['McKesson Health Solutions', 'McKesson']"
MDT,Medtronic,"['MDT', 'Medtronic', 'Medtronic Inc', 'Medtronic - MITG']"
MRK,Merck & Co.,"['MSD', 'Merck Sharp & Dohme', 'Merck Sharp & Dohme Corp.', 'MRK']"
META,Meta Platforms,"['Facebook, Inc.', 'Meta', 'TheFacebook, Inc.', 'TheFacebook', 'Meta Platforms, Inc.']"
MET,MetLife,"['Metropolitan Life Insurance Company', 'MetLife, Inc.', 'Metropolitan', 'Metropolitan Insurance Company']"
MTD,Mettler Toledo,[]
MGM,MGM Resorts,"['MGM', 'Metro Goldwyn Mayer']"
MCHP,Microchip Technology,['Microchip Technology Inc.']
MU,Micron Technology,"['Micron Technology, Inc.', 'Micron']"
MSFT,Microsoft,"['MS', 'Microsoft Corp.', 'Micro-Soft']"
MAA,Mid-America Apartment Communities,[]
MRNA,Moderna,"['Moderna, Inc.', 'Moderna Therapeutics', 'Moderna Therapeutics, Inc.']"
MHK,Mohawk Industries,[]
MOH,Molina Healthcare,[]
TAP,Molson Coors Beverage Company,[]
MDLZ,Mondelez International,"['Mondelez International, Inc.', 'National Dairy Products', 'Mondelez', 'Mondelēz International']"
MPWR,Monolithic Power Systems,[]
MNST,Monster Beverage,"['Monster Beverage Corp', 'clothing gear apparel']"
MCO,Moody's Corporation,[]
MS,Morgan Stanley,"['MorganStanley', 'Morgan Stanley & Co.']"
MOS,Mosaic Company (The),[]
MSI,Motorola Solutions,"['Motorola Solutions, Inc.', 'Motorola']"
MSCI,MSCI Inc.,"['MSCI Inc.', 'Morgan Stanley Capital International', 'MSCI Barra']"
NDAQ,"Nasdaq, Inc.","['The NASDAQ OMX Group, Inc.', 'National Association of Securities Dealers Automated Quotations', 'Nasdaq Inc.']"
NTAP,NetApp,"['NetApp, Inc.']"
NFLX,Netflix,[]
NEM,Newmont,['Newmont Corporation']
NWSA,News Corp (Class A),['NWSA']
NWS,News Corp (Class B),[]
NEE,NextEra Energy,[]
NKE,"Nike, Inc.","['Blue Ribbon Sports', 'Nike Inc.', 'Nike, Inc.', 'https://www.nike.com/', 'www.nike.com/', 'nike.com/']"
NI,NiSource,[]
NDSN,Nordson Corporation,[]
NSC,Norfolk Southern,"['NS', 'Norfolk Southern Railway Company']"
NTRS,Northern Trust,['Northern Trust Corporation']
NOC,Northrop Grumman,"['Northrop Grumman Corporation', 'Northrop']"
NCLH,Norwegian Cruise Line Holdings,"['Norwegian Cruise Line Holdings', 'NCLH']"
NRG,NRG Energy,"['NRG Energy, Inc.', 'NRG']"
NUE,Nucor,['Nuclear Corporation of America']
NVDA,Nvidia,"['Nvidia Corporation', 'Nvidia Corp.', 'NVDA', 'nVidia', 'NVIDIA']"
NVR,"NVR, Inc.",['NVR']
NXPI,NXP Semiconductors,[]
ORLY,O’Reilly Automotive,['O’Reilly Automotive Inc.']
OXY,Occidental Petroleum,"['Occidental Petroleum Corporation', 'Oxy']"
ODFL,Old Dominion,['ODFL']
OMC,Omnicom Group,"['Omnicom', 'Omnicom Group Inc']"
ON,ON Semiconductor,"['Mietec', 'Alcatel Microelectronics', 'AMI Semiconductor', 'onsemi', 'ON Semiconductor Corporation']"
OKE,Oneok,"['Oklahoma Natural Gas Company', 'Oneok, Inc']"
ORCL,Oracle Corporation,"['Oracle Corporation', 'Big Red', 'Oracle International Corporation (Redwood Shores, CA)', 'ORCL', 'oracle.com']"
OTIS,Otis Worldwide,"['Otis', 'Otis Worldwide']"
PCAR,Paccar,[]
PKG,Packaging Corporation of America,['PCA']
PLTR,Palantir Technologies,"['Palantir', 'PLTR', 'Palantir Technologies Inc.']"
PANW,Palo Alto Networks,"['Palo Alto Networks, Inc.', 'PAN', 'PANW', 'Palo Alto Software', 'paloaltonetworks.com']"
PARA,Paramount Global,"['Paramount', 'ViacomCBS']"
PH,Parker Hannifin,"['Parker', 'Parker Appliance Company', 'Runwise']"
PAYX,Paychex,[]
PAYC,Paycom,[]
PYPL,PayPal,"['PayPal Holdings, Inc.', 'Paypal', 'paypal.com', 'PAYPAL, INC. (San Jose, CA)']"
PNR,Pentair,[]
PEP,PepsiCo,[]
PFE,Pfizer,"['Pfizer PFE, spol. s r.o.']"
PCG,PG&E Corporation,['PCG']
PM,Philip Morris International,"['Philip Morris International Inc.', 'Philip Morris', 'PMI']"
PSX,Phillips 66,['Phillips 66 Company']
PNW,Pinnacle West Capital,['Pinnacle West Capital']
PNC,PNC Financial Services,['PNC']
POOL,Pool Corporation,[]
PPG,PPG Industries,"['PPG Industries (United States)', 'PPG']"
PPL,PPL Corporation,['Pennsylvania Power and Light']
PFG,Principal Financial Group,['Principal']
PG,Procter & Gamble,"['P&G', 'Procter & Gamble Co.', 'Proctor and Gamble', 'The Procter & Gamble Company (Cincinnati, OH)']"
PGR,Progressive Corporation,['Progressive']
PLD,Prologis,"['Prologis Logistics', 'Prologis Real Estate']"
PRU,Prudential Financial,[]
PEG,Public Service Enterprise Group,"['Public Service Corporation of New Jersey', 'PSEG', 'Public Service Electric & Gas', 'PSE&G']"
PTC,PTC Inc.,"['PTC, Inc.', 'ptc.com']"
PSA,Public Storage,[]
PHM,PulteGroup,"['PulteGroup, Inc', 'Pulte Homes']"
PWR,Quanta Services,[]
QCOM,Qualcomm,"['QCOM (NASDAQ)', 'Qualcomm Incorporated', 'Qualcomm, Inc.', 'QUALCOMM Incorporated (San Diego, CA)', 'QUALity COMMunications']"
DGX,Quest Diagnostics,[]
RL,Ralph Lauren Corporation,['Polo Ralph Lauren']
RJF,Raymond James Financial,['Raymond James Financials']
RTX,RTX Corporation,[]
O,Realty Income,[]
REG,Regency Centers,[]
REGN,Regeneron Pharmaceuticals,['Regeneron']
RF,Regions Financial Corporation,[]
RSG,Republic Services,[]
RMD,ResMed,['RMD']
RVTY,Revvity,[]
ROK,Rockwell Automation,[]
ROL,"Rollins, Inc.",[]
ROP,Roper Technologies,['Roper Industries']
ROST,Ross Stores,[]
RCL,Royal Caribbean Group,"['Royal Caribbean Cruises Ltd.', 'Royal Caribbean Cruises', 'RCL', 'RCCL Group', 'RCL Corporate']"
SPGI,S&P Global,"['S&P Global Inc.', 'SPGI', 'Seek & Prosper']"
CRM,Salesforce,"['Salesforce.com, Inc.', 'SFDC', 'salesforce.com']"
SBAC,SBA Communications,['SBA Communications Corporation']
SLB,Schlumberger,"['Schlumberger Limited', 'Schlumberger Technology Corporation', 'SCHLUMBERGER TECHNOLOGY CORPORATION (Sugar Land, TX)']"
STX,Seagate Technology,"['Seagate Technology PLC', 'Seagate', 'Shugart Technology', 'Seagate Technology LLC', 'Seagate Technology LLC (Fremont, CA)', 'Seagate Technology Inc.']"
SRE,Sempra,[]
NOW,ServiceNow,"['servicenow.com', 'ServiceNow Inc.', 'ServiceNow, Inc.']"
SHW,Sherwin-Williams,"['Sherwin-Williams Company', 'Sherwin Williams']"
SPG,Simon Property Group,"['United Society for the Propagation of the Gospel', 'USPG', 'SPG', 'Society for the Propagation of the Gospel']"
SWKS,Skyworks Solutions,[]
SJM,J.M. Smucker Company (The),[]
SW,Smurfit Westrock,['Smurfit Kappa']
SNA,Snap-on,[]
SOLV,Solventum,['Solvay Pharmaceuticals']
SO,Southern Company,[]
LUV,Southwest Airlines,"['Southwest Airlines Co.', 'Southwest']"
SWK,Stanley Black & Decker,"['The Stanley Works', 'Stanley Works', 'Stanley Black & Decker, Inc.']"
SBUX,Starbucks,"['Starbucks Corporation', 'Starbucks Coffee', 'Starbucks Coffee Company']"
STT,State Street Corporation,"['State Street', 'STT']"
STLD,Steel Dynamics,['SDI']
STE,Steris,[]
SYK,Stryker Corporation,[]
SMCI,Supermicro,"['SuperMicro', 'Super Micro Computer', 'Super Micro Computer, Inc.']"
SYF,Synchrony Financial,[]
SNPS,Synopsys,"['Synopsys, Inc.', 'SNPS', 'SYNOPSYS, INC. (Mountain View, CA)']"
SYY,Sysco,['Sysco Corporation']
TMUS,T-Mobile US,"['T-Mobile', 'VoiceStream Wireless', 'T-Mobile USA, Inc.']"
TROW,T. Rowe Price,"['T. Rowe Price Associates, Inc.', 'T. Rowe Price Group, Inc.']"
TTWO,Take-Two Interactive,"['Blue Shift, Inc.', 'Visual Concepts Blue Shift', 'Take-Two Interactive Software Vancouver ULC']"
TPR,"Tapestry, Inc.","['Tapestry', 'Coach, Inc.']"
TRGP,Targa Resources,[]
TGT,Target Corporation,[]
TEL,TE Connectivity,"['Tyco Electronics', 'AMP Incorporated']"
TDY,Teledyne Technologies,"['Teledyne Technologies, Inc.', 'Teledyne Benthos', 'RD Instruments']"
TER,Teradyne,[]
TSLA,"Tesla, Inc.","['Tesla Inc.', 'Tesla']"
TXN,Texas Instruments,[]
TPL,Texas Pacific Land Corporation,['TPL']
TXT,Textron,"['Avco Lycoming', 'Textron Lycoming', 'Lycoming Engines', 'Demorest Manufacturing Company', 'Demorest Fashion and Sewing-Machine Company', 'Lycoming Foundry and Machine Company']"
TMO,Thermo Fisher Scientific,"['Thermo Fisher', 'ThermoFisher', 'TMO']"
TJX,TJX Companies,[]
TKO,TKO Group Holdings,[]
TSCO,Tractor Supply,['TSCO']
TT,Trane Technologies,[]
TDG,TransDigm Group,"['TransDigm Group Incorporated', 'TDG', 'TransDigm Group']"
TRV,Travelers Companies (The),[]
TRMB,Trimble Inc.,[]
TFC,Truist Financial,"['BB&T Corporation', 'BBT', 'Branch Banking and Trust Company']"
TYL,Tyler Technologies,[]
TSN,Tyson Foods,"['Tyson Foods, Inc.']"
USB,U.S. Bancorp,['U.S. Bank']
UBER,Uber,"['Uber Technologies, Inc.', 'UberCab', 'Uber Technologies, Inc. (San Francisco, CA)', 'Uber Technology']"
UDR,"UDR, Inc.",[]
ULTA,Ulta Beauty,"['Ulta Beauty Inc.', 'Ulta']"
UNP,Union Pacific Corporation,['Union Pacific and North-Western Line']
UAL,United Airlines Holdings,"['UCH', 'United Continental', 'UAL Corporation', 'United Continental Holdings']"
UPS,United Parcel Service,"['UPS', 'United Parcel Service Inc.', 'United Parcel Service, Inc, UPS', 'UNITED PARCEL SERVICE OF AMERICA, INC. (Atlanta, GA)', 'Merchants Parcel Delivery', 'American Messenger Company']"
URI,United Rentals,"['United Rentals, Inc']"
UNH,UnitedHealth Group,['UnitedHealth Group Inc.']
UHS,Universal Health Services,[]
VLO,Valero Energy,[]
VTR,Ventas,[]
VLTO,Veralto,[]
VRSN,Verisign,"['VeriSign', 'VeriSign,Inc.', 'Verisign, Inc.', 'VRSN']"
VRSK,Verisk Analytics,"['Verisk Analytics, Inc.']"
VZ,Verizon,"['Verizon Communications Inc.', 'Bell Atlantic', 'Verizon']"
VRTX,Vertex Pharmaceuticals,"['Vertex Pharmaceuticals Inc.', 'Vertex']"
VTRS,Viatris,"['Viatris Inc.', 'Viatris Pharmaceuticals', 'Viatris (firma)']"
VICI,Vici Properties,[]
V,Visa Inc.,"['Visa', 'Visa Inc']"
VST,Vistra Corp.,"['Vistra Corp.', 'Vistra Energy Corp.', 'Vistra Corp']"
VMC,Vulcan Materials Company,[]
WRB,W. R. Berkley Corporation,"['W. R. Berkley Corporation', 'Berkley']"
GWW,W. W. Grainger,"['W. W. Grainger, Inc.', 'Grainger', 'Graigner']"
WAB,Wabtec,['Wabtec Corporation']
WBA,Walgreens Boots Alliance,[]
WMT,Walmart,"['Wal-Mart', 'Wal Mart', 'Wal-Mart Stores, Inc.', 'Walmart, Inc.', 'Walmart Inc.', 'Wallmart', 'Wal-mart', 'Wall Mart', 'Wall-Mart']"
DIS,Walt Disney Company (The),"['Disney', 'Disney Brothers Cartoon Studio', 'The Walt Disney Studio', 'Walt Disney Productions', 'Walt Disney Company', 'Walt Disney']"
WBD,Warner Bros. Discovery,"['Turner Broadcasting System Netherlands', 'Turner Europe, Middle East and Africa']"
WM,Waste Management,['Waste Management']
WAT,Waters Corporation,[]
WEC,WEC Energy Group,"['WEC Energy Group Inc.', 'Wisconsin Energy Corporation']"
WFC,Wells Fargo,"['Wells Fargo & Company', 'Wells Fargo Bank']"
WELL,Welltower,"['wellcome.ac.uk', 'The Wellcome Trust', 'wellcome.org']"
WST,West Pharmaceutical Services,[]
WDC,Western Digital,"['Western Digital Corporation', 'WD', 'WDC', 'Western Digital Corp.', 'WD Corp.', 'Western Digital Technologies, Inc.  (San Jose, CA)']"
WY,Weyerhaeuser,['Weyerhaeuser Company']
WSM,"Williams-Sonoma, Inc.","['Williams Sonoma', 'Willams and Sonoma', 'Williams-Sonoma, Inc', 'Williams-Sonoma']"
WMB,Williams Companies,"['WMBE', 'Wikimedia Belgium NPO', 'bewikimedia']"
WTW,Willis Towers Watson,"['Willis (United Kingdom)', 'WTW', 'wtw', 'Willis Towers Watson plc']"
WDAY,"Workday, Inc.","['Workday', 'workday.com']"
WYNN,Wynn Resorts,['Wynn Resorts Limited']
XEL,Xcel Energy,[]
XYL,Xylem Inc.,"['Xylem', 'Xylem (United States)']"
YUM,Yum! Brands,[]
ZBRA,Zebra Technologies,[]
ZBH,Zimmer Biomet,"['Zimmer', 'Biomet', 'Zimmer Biomet', 'Zimmer Biomet Holdings, Inc.']"
ZTS,Zoetis,['Zoetis Inc.']
